Dates,CLOSE_SPY,OPEN,HIGH,LOW,VOLUME,CLOSE_GLD,CLOSE_FXY,CLOSE_T10Y2Y,CLOSE_TED,CLOSE_USO,CLOSE_UUP,CLOSE_VIX,CLOSE_VWO
2007-04-19,147.23,146.55,147.4,146,103342898,67.53,84.49,2.4011,0.51,49.22,24.55,12.54,41.42
2007-04-20,148.62,148.22,148.62,147,124114305,68.7,84.225,2.409,0.51,50.05,24.46,12.07,42.04
2007-04-23,148.06,148.37,148.73,148,77260336,68.26,84.31,2.4093,0.51,51.22,24.59,13.04,41.865
2007-04-24,148.12,148.23,148.4,147,114471102,67.73,84.36,2.4143,0.52,50.39,24.56,13.12,41.895
2007-04-25,149.48,148.73,149.66,148,109140000,67.89,84.3,2.4408,0.53,51.32,24.52,13.21,42.49
2007-04-26,149.65,149.49,149.8,149,88741562,66.87,83.65,2.4442,0.54,50.94,24.62,12.79,41.92
2007-04-27,149.53,149.09,149.74,149,106984094,67.56,83.73,2.4474,0.55,51.84,24.54,12.45,41.75
2007-04-30,148.29,149.64,149.74,148,100874203,67.09,83.7166,2.4361,0.57,51.24,24.49,14.22,40.935
2007-05-02,149.54,148.9,149.95,149,87129805,66.66,83.38,2.4366,0.59,49.59,24.66,13.08,42.02
2007-05-03,150.35,149.97,150.4,149,87204945,67.49,83.11,2.4346,0.6,49.28,24.69,13.09,42.435
2007-05-04,150.92,150.75,151.12,150,96408930,68.19,83.23,2.4006,0.6,48.3,24.6,12.91,42.595
2007-05-08,150.75,150.58,150.92,150,80583938,67.88,83.37,2.3913,0.6,48.64,24.73,13.21,42.36
2007-05-09,151.16,150.64,152.82,150,102921695,67.45,83.25,2.3938,0.62,48.01,24.76,12.88,42.87
2007-05-10,149.58,150.73,151.02,149,153618891,66,83.45,2.3982,0.63,48.15,24.79,13.6,41.805
2007-05-11,150.86,149.75,150.93,150,113408797,66.45,83.32,2.389,0.63,48.57,24.81,12.95,42.9
2007-05-14,150.53,150.86,151.3,150,108043906,66.28,83.14,2.3878,0.63,48.56,24.79,13.96,42.63
2007-05-15,150.57,150.7,151.665,150,180670500,66.54,83.23,2.3486,0.66,48.99,24.71,14.01,42.65
2007-05-16,151.6,150.8,151.63,150,114321508,65.6,82.85,2.3458,0.74,48.53,24.82,13.5,43.335
2007-05-17,151.3,151.38,151.96,151,101150000,65.06,82.47,2.3577,0.68,50.16,24.88,13.51,43.085
2007-05-18,152.62,152.01,152.62,152,99178242,65.52,82.61,2.3592,0.66,50.1,24.83,12.76,43.39
2007-05-21,152.54,152.58,153.23,152,174661594,65.67,82.4,2.3664,0.6,50.82,24.9,13.3,43.485
2007-05-22,152.42,152.7,153.16,152,82148992,65.22,82.25,2.3601,0.57,49.92,24.91,13.06,43.6
2007-05-23,152.44,152.95,153.5,152,133786594,65.54,82.24,2.3696,0.59,50.17,24.89,13.24,43.315
2007-05-25,151.69,151.49,152.02,151,83307320,64.94,82.13,2.3839,0.61,49.5,24.91,13.34,43.21
2007-05-29,152.24,151.94,152.5,151,82020195,65.07,82.2,2.3699,0.6,48.4,24.92,13.53,43.075
2007-05-30,153.48,151.46,153.54,151,129013906,64.72,82.26,2.365,0.65,48.21,24.96,12.83,43.5
2007-05-31,153.32,153.66,153.89,153,114869297,65.54,82.17,2.3893,0.76,48.96,24.92,13.05,43.66
2007-06-01,154.08,153.88,154.4,154,107771695,66.44,82,2.4018,0.7,49.46,24.93,12.78,44.645
2007-06-04,154.1,153.54,154.39,153,78008961,66.54,82.16,2.3992,0.68,50.35,24.83,13.29,44.51
2007-06-05,153.49,153.74,153.9,153,127007102,66.37,82.38,2.4096,0.66,50.02,24.76,13.63,44.265
2007-06-07,149.1,151.56,152.5,149,232451500,65.26,82.72,2.4627,0.69,50.65,24.96,17.06,42.765
2007-06-08,151.04,149.5,151.19,149,175897297,64.22,82.17,2.4238,0.72,49.06,25.04,14.84,43.77
2007-06-11,151.3,150.93,151.95,151,102034398,64.7,82.11,2.4558,0.76,49.84,25.1,14.71,43.9
2007-06-12,149.65,150.67,151.54,150,233926891,64.1,82.19,2.4903,0.77,49.56,25.1499,16.67,43.185
2007-06-13,151.89,150.5,152.07,150,193216500,64.53,81.51,2.4722,0.83,50.09,25.2,14.73,44.145
2007-06-14,152.86,152.06,153.12,152,144894703,64.6,81.3,2.4729,0.84,51.1,25.23,13.64,44.83
2007-06-15,153.07,153.14,153.66,153,154032609,64.85,80.98,2.4396,0.93,51.53,25.09,13.94,45.6
2007-06-18,152.89,153.38,153.39,153,88635664,64.95,80.8545,2.4348,0.85,52.14,25.06,13.42,45.965
2007-06-19,153.27,152.55,153.38,152,110852898,65.48,81.08,2.4195,0.84,52.12,25.07,12.85,46.055
2007-06-20,151.14,153.58,153.58,151,177168609,64.71,80.92,2.4214,0.75,51.55,24.12,14.67,45.735
2007-06-21,151.98,151.08,152.11,150,205131906,64.56,80.8701,2.4461,0.79,51.6,25.1,14.21,46.25
2007-06-22,150.55,151.52,151.77,150,205066000,64.78,80.8,2.4573,0.77,51.89,24.95,15.75,45.6
2007-06-25,149.83,150.24,151.25,149,232014500,64.43,80.94,2.4291,0.67,51.96,25.03,16.65,45.22
2007-06-26,148.29,150.21,150.46,148,197477500,63.62,81.16,2.4022,0.67,51.12,24.99,18.89,45
2007-06-27,150.4,148.13,150.57,148,209024984,63.67,81.58,2.3947,0.72,51.88,25.03,15.53,45.585
2007-06-28,150.38,150.38,151.41,150,157109594,64.26,81.25,2.399,0.72,52.47,25.0299,15.54,45.5899
2007-06-29,150.43,150.9,151.65,149,193583391,64.27,81.24,2.3851,0.68,53,24.8811,16.23,45.645
2007-07-02,151.79,150.87,151.92,151,103326797,65.02,81.72,2.3851,0.55,53.53,24.75,15.4,46.59
2007-07-03,152.34,152.18,152.5,152,54047488,64.74,81.81,2.381,0.55,53.54,24.71,14.92,47.095
2007-07-05,152.18,152.4,152.56,152,89049133,64.42,81.37,2.4067,0.55,54.15,24.83,15.48,47.46
2007-07-06,152.98,152.38,153.17,152,81106062,64.96,81.08,2.4169,0.55,54.68,24.7845,14.72,48.105
2007-07-09,153,153.16,153.36,153,71632359,65.38,81.09,2.4167,0.53,54.35,24.79,15.16,48.475
2007-07-10,150.92,152.29,152.61,151,178909500,65.61,82.09,2.3967,0.55,54.72,24.62,17.57,47.625
2007-07-11,151.99,150.75,152.05,151,175289297,65.44,81.72,2.3864,0.55,54.66,24.59,16.64,47.9855
2007-07-12,154.39,152.37,154.75,152,133546594,66.02,81.68,2.3847,0.53,54.74,24.55,15.54,49.24
2007-07-13,154.85,154.57,155.46,154,111766203,66.03,81.99,2.3805,0.53,55.54,24.574,15.15,49.58
2007-07-16,154.83,154.99,155.53,155,98355203,65.82,82.08,2.4112,0.52,55.76,24.56,15.59,48.86
2007-07-18,154.47,154.23,154.8,153,231246297,66.62,82.05,2.4284,0.54,56.58,24.54,16,48.795
2007-07-19,155.07,155.2,155.53,155,145074500,67.01,81.88,2.4392,0.52,57.08,24.53,15.23,49.25
2007-07-20,153.5,154.89,155.248,152,245469703,67.58,82.5,2.4088,0.53,57,24.49,16.95,49.12
2007-07-23,153.97,154.18,154.72,153,119941906,67.47,82.53,2.3849,0.48,56.38,24.54,16.81,50.275
2007-07-24,151.3,153.12,154.28,151,256699703,67.47,83.22,2.4044,0.48,55.16,24.35,18.55,48.785
2007-07-25,151.61,152.02,152.39,150,264666594,66.9,82.96,2.4148,0.51,57.44,24.56,18.1,49.38
2007-07-26,148.02,150.19,150.8,146,465135625,65.65,84.21,2.3697,0.58,56.22,24.45,20.74,46.66
2007-07-27,145.11,148.21,148.87,145,422616906,65.41,84.16,2.3707,0.64,57.74,24.65,24.17,46.15
2007-07-31,145.72,148.33,149.46,145,316607406,65.79,84.34,2.3964,0.54,58.53,24.65,23.52,47.25
2007-08-01,146.43,145.18,147.01,144,467573094,65.93,84.02,2.3731,0.61,57.76,24.66,23.67,46.5
2007-08-02,147.6,146.76,147.76,145,294626594,65.89,83.85,2.3615,0.61,57.7,24.7,21.22,46.995
2007-08-03,143.8,147.28,147.58,143,359157594,66.69,84.65,2.324,0.64,56.44,24.47,25.16,45.1
2007-08-06,146.21,144.21,146.83,143,324593094,66.52,83.91,2.3141,0.62,54.2,24.52,22.94,46.25
2007-08-07,147.77,145.94,149,145,280185000,66.48,84.1401,2.3504,0.56,54.36,24.59,21.56,46.42
2007-08-08,149.83,148.41,150.59,147,274653000,66.77,83.52,2.3554,0.57,54.27,24.52,21.45,47.7
2007-08-09,145.39,147.43,149.95,145,357452281,65.46,84.52,2.3373,0.83,53.78,24.71,26.48,45.72
2007-08-10,144.71,144.39,146.5,143,410720906,66.57,84.32,2.342,1.14,53.64,24.73,28.3,45.225
2007-08-13,145.23,146.5,146.89,145,177475297,66.26,84.56,2.3457,0.95,53.85,24.8,26.57,45.5
2007-08-14,143.01,145.7,146.06,143,263934094,66.29,84.88,2.3328,1.02,54.23,24.96,27.68,44.075
2007-08-16,142.1,139.79,142.94,137,546123875,64.68,87.54,2.3039,1.82,53.58,25,30.83,41.2
2007-08-17,144.71,145.5,148.35,141,388157188,65.01,87.52,2.3374,1.85,54.03,24.93,29.99,42.78
2007-08-20,144.64,145.17,145.47,143,186925109,65.12,86.94,2.3119,2.42,53.54,24.99,26.33,43.025
2007-08-21,144.93,144.6,145.97,144,156932297,65.07,87.3,2.3112,1.98,52.43,25.0001,25.25,42.695
2007-08-22,146.65,146.01,146.8,145,169778297,65.4,86.88,2.3228,1.92,52.35,24.93,22.89,44.43
2007-08-23,146.52,147.34,147.65,146,203799297,65.31,86.06,2.3397,1.72,52.65,24.89,22.62,44.8
2007-08-24,148.33,146.48,148.33,146,128842094,66.11,85.87,2.3271,1.38,53.64,24.78,20.72,45.81
2007-08-28,143.72,146.16,146.25,143,219565797,65.59,87.38,2.2774,1.23,54.03,24.76,26.3,44.2
2007-08-29,146.54,144.37,146.74,144,207478891,66.07,86.08,2.28,1.66,55.55,24.736,23.81,46.29
2007-08-30,146.15,145.45,147.19,145,191302703,65.8,86.29,2.2725,1.84,55.5,24.85,25.06,45.826
2007-08-31,147.59,147.65,148.5,147,185474594,66.52,86.32,2.2717,1.71,55.78,24.79,23.38,47.245
2007-09-04,149.08,147.45,149.98,147,119558000,67.44,85.95,2.2813,1.35,56.75,24.83,22.78,47.905
2007-09-05,147.79,148.2,148.36,147,166237500,67.56,86.78,2.2575,1.48,57.26,24.736,24.58,46.795
2007-09-06,148.13,147.95,148.61,147,127795297,68.86,86.62,2.2694,1.54,57.63,24.67,23.99,47.495
2007-09-07,146.07,146.48,146.89,145,235423812,69.39,88.13,2.2691,1.77,57.76,24.53,26.23,46.555
2007-09-10,145.79,146.52,146.72,144,192318594,69.62,87.98,2.2669,1.84,58.79,24.5,27.38,46.235
2007-09-11,147.49,146.24,147.7,146,161928703,70.52,87.54,2.2974,1.7,58.96,24.53,25.27,47.56
2007-09-12,147.87,147.29,148.44,147,149559594,70.46,87.53,2.32,1.77,60,24.41,24.96,47.42
2007-09-13,148.91,148.55,149.45,148,153823594,70.08,86.72,2.3332,1.72,60.17,24.48,24.76,47.8903
2007-09-14,148.9,147.96,149.09,148,121785695,69.99,86.58,2.3351,1.75,59.79,24.5399,24.92,47.96
2007-09-17,148.1,148.31,148.891,148,109832203,70.97,86.77,2.3498,1.55,60.67,24.52,26.48,47.52
2007-09-18,152.46,148.83,152.5,148,262750312,71.7,85.8999,2.3852,1.68,62.05,24.44,20.35,49.75
2007-09-19,153.36,153.41,154.39,148,193698797,71.43,86.12,2.3323,1.41,61.82,24.43,20.03,49.86
2007-09-20,152.28,153.34,153.43,152,174834500,72.72,87.26,2.3364,1.52,62.65,24.246,20.45,49.5299
2007-09-21,151.97,152.71,153.118,152,141458203,72.34,86.61,2.3195,1.56,62.14,24.26,19,50.375
2007-09-27,153.09,152.91,153.1,152,102607000,72.7,86.43,2.3013,1.61,63.44,24.23,17,52.305
2007-09-28,152.58,152.85,153.19,152,133344594,73.51,87,2.3162,1.51,62.55,24.0499,18,51.89
2007-10-01,154.3,152.6,154.75,153,146325297,73.9,86.36,2.3013,1.4,61.59,24.08,17.84,53.885
2007-10-02,154.09,154.61,154.65,154,112647102,72.35,86.21,2.2953,1.38,61.63,24.23,18.49,53.7
2007-10-04,154.02,154.11,154.26,154,76687648,72.87,85.75,2.2872,1.39,62.61,24.27,18.44,53.35
2007-10-05,155.85,155.03,156.1,155,134579812,73.4,85.5,2.3166,1.35,62.28,24.23,16.91,54.8
2007-10-09,156.48,155.6,156.5,155,93835852,73.09,85.27,2.3179,1.29,61.4,24.29,16.12,54.885
2007-10-10,156.22,156.04,156.44,155,101476703,73.36,85.25,2.3235,1.3,62.4,24.22,16.67,55.25
2007-10-11,155.47,156.93,157.52,155,233472609,73.91,85.31,2.322,1.23,63.59,24.24,18.88,54.995
2007-10-12,156.33,155.46,156.35,155,124529508,74.59,84.94,2.3271,1.13,64,24.2,17.73,55.825
2007-10-15,155.01,156.27,156.36,154,161004000,75.14,85.28,2.3427,1.02,65.89,24.17,19.25,55.45
2007-10-16,153.78,154.41,156.48,153,166265109,75.12,85.66,2.3395,1.07,66.98,24.2,20.02,54.225
2007-10-17,154.25,154.98,155.09,152,216590891,74.5,85.68,2.3169,1.29,66.63,24.19,18.54,55.825
2007-10-18,153.69,153.45,154.19,153,148092984,76,86.4,2.312,1.52,68.17,24.04,18.5,56.0718
2007-10-19,149.67,153.09,156.48,150,296519281,75.7,87.17,2.3017,1.4,67.14,23.99,22.96,53.295
2007-10-22,150.54,148.86,150.76,149,261945406,74.6,87.36,2.2951,1.19,66.54,24.19,21.64,54
2007-10-23,151.76,151.46,151.95,150,179888406,75.23,86.91,2.2874,1.2,65.83,24.04,20.41,55.3
2007-10-24,151.48,151.21,151.74,148,326222031,75.52,87.5,2.2928,1.32,67.98,24,20.8,54.805
2007-10-25,151.84,151.65,152.29,150,237107109,76.03,87.6,2.3299,1.17,70.12,23.95,21.17,55.45
2007-10-26,153.62,153.06,153.62,152,176283391,77.69,87.48,2.3483,1.12,71.17,23.85,19.56,57.57
2007-10-29,154.13,153.93,154.44,154,106794305,78.12,87.22,2.3375,1.05,72.5,23.81,19.87,58.545
2007-10-30,153.06,153.45,153.75,153,132944297,77.35,87.08,2.3252,1.05,69.54,23.8579,21.07,57.475
2007-10-31,154.65,153.98,155.27,153,220919203,78.62,86.61,2.3562,1.05,73.27,23.75,18.53,58.64
2007-11-01,151.03,153.29,153.41,151,332864094,77.93,87.35,2.3581,1.17,72.17,23.83,23.21,56.575
2007-11-02,151.2,151.53,152,149,331155812,79.83,87.18,2.3929,1.35,74.35,23.6,23.01,56.875
2007-11-05,150.05,149.64,151.16,148,226743297,79.75,87.4,2.4052,1.26,73.54,23.72,24.31,55.5
2007-11-06,152.07,150.86,152.11,150,177507391,81.43,87.22,2.4442,1.24,75.34,23.64,21.39,57.2
2007-11-07,147.91,150.44,152.107,148,305122312,82.24,88.68,2.3991,1.5,74.48,23.52,26.49,55.02
2007-11-08,147.16,147.99,149.3,145,374275812,82.23,88.66,2.4085,1.59,74.08,23.5,26.16,55.52
2007-11-09,145.14,145.69,147.54,145,277715000,82.18,90.3,2.4272,1.69,74.77,23.5,28.5,54.32
2007-11-13,148.08,145.37,148.31,145,191022703,79.12,90,2.4056,1.46,70.93,23.63,24.1,54.9
2007-11-14,147.67,149.22,149.4,147,229975703,80.28,89.61,2.4009,1.55,72.6,23.64,25.94,55.15
2007-11-15,145.54,146.57,147.49,145,262804906,77.95,90.54,2.3699,1.69,72.3,23.7,28.06,53.9
2007-11-16,145.79,146.31,146.47,145,308620094,77.75,90.11,2.3823,1.63,73.9,23.67,25.49,53.99
2007-11-19,143.76,145.28,145.36,143,267092406,77.24,90.97,2.4161,1.66,74.49,23.6,26.01,52.5
2007-11-20,144.64,144.02,145.53,142,414250219,79.47,90.86,2.4248,1.83,77.34,23.38,24.88,53.2
2007-11-21,141.68,143.08,143.91,142,259160297,79.36,92.17,2.4204,2,76.44,23.26,26.84,50.705
2007-11-23,144.13,143.07,144.34,143,77684625,81.25,92.3,2.4208,1.89,76.76,23.434,25.61,51.63
2007-11-26,140.95,144.43,144.88,141,212492297,81.3,93.14,2.3968,1.99,76.25,23.31,28.91,49.15
2007-11-27,142.57,141.74,143.23,141,293721875,80.1,91.79,2.3856,1.98,74.3,23.44,26.28,51.555
2007-11-28,147.13,144.19,147.47,144,257027812,79.57,90.6,2.3531,2.1,71.8,23.51,24.11,54.1
2007-11-29,147.18,146.62,147.72,146,199104500,78.28,90.89,2.3593,2.2,71.64,23.64,23.97,53.65
2007-11-30,148.66,149.04,149.87,147,222914203,77.32,89.85,2.3645,2.05,69.91,23.82,22.87,53.64
2007-12-03,147.68,148.19,148.45,147,145852797,78.28,90.42,2.3265,2.15,70.7,23.77,23.61,53.76
2007-12-04,146.36,146.66,147.541,146,136528609,79.4,91,2.3067,2.15,69.4,23.6,23.79,53.665
2007-12-05,148.81,147.93,149.2,148,170813406,78.63,90.07,2.2797,2.15,68.69,23.89,22.53,55.67
2007-12-06,150.94,148.63,151.21,149,154487203,79.37,89.79,2.2806,2.13,71.02,23.88,20.96,56.175
2007-12-07,150.91,151.42,151.5,151,148951391,78.6,89.37,2.2856,2.1,69.43,23.92,20.85,55.835
2007-12-10,152.08,151.28,152.25,151,123771906,80,89.51,2.3018,2.15,69.36,23.75,20.74,55.805
2007-12-11,147.91,152.14,152.89,148,249913297,78.84,90.22,2.2482,2.24,70.26,23.7,23.59,53.475
2007-12-12,149.37,151.06,151.77,147,322273219,80.49,89.12,2.3084,2.25,73.9,23.7904,22.47,55.015
2007-12-13,149.06,148.32,149.39,147,237579594,78.5,88.99,2.3445,2.19,73.17,23.87,22.56,54.03
2007-12-14,147.17,147.93,149.1,147,159092891,78.52,88.04,2.3635,2.16,72.26,24.17,23.27,52.52
2007-12-17,145.07,146.61,146.87,145,177007391,78.13,88.42,2.3518,1.93,71.89,24.17,24.52,50.13
2007-12-18,145.88,146.1,146.48,144,245547500,79.25,88.04,2.3502,1.95,71.11,23.94,22.64,51.45
2007-12-20,146.8,146.84,146.86,145,214671812,78.67,88.4,2.3105,2.03,72.1,24.05,20.58,51.85
2007-12-21,148.13,147.37,148.42,147,146074406,80.1,87.48,2.3471,1.94,73.8,24.11,18.47,53.225
2007-12-24,149.23,148.82,149.48,148,45600527,80.14,87.18,2.3659,1.58,73.95,23.95,18.6,53.225
2007-12-27,147.67,149.02,149.03,147,120888398,81.56,87.83,2.3592,1.74,76.25,23.71,20.26,52.505
2007-12-28,147.3,148.54,148.61,147,116347797,83,88.7,2.3205,1.63,75.89,23.55,20.74,52.71
2008-01-02,144.93,146.53,146.99,144,204889406,84.86,91.19,2.3329,1.5,78.47,23.49,23.17,52
2008-01-03,144.86,144.91,145.49,144,125044492,85.57,91.4,2.3483,1.49,78.37,23.54,22.49,52.5
2008-01-04,141.31,143.34,143.44,141,232350500,85.13,92.11,2.3144,1.5,77.31,23.29,23.94,50.765
2008-01-07,141.19,141.81,142.23,140,234546203,84.77,91.51,2.2835,1.35,75.5,23.52,23.79,51.165
2008-01-08,138.91,142.08,142.9,138,326274906,86.78,91.59,2.2798,1.34,76.06,23.49,25.43,51.125
2008-01-09,140.37,139.09,140.79,138,301820406,86.5499,90.85,2.2742,1.3,75.25,23.67,24.12,52.365
2008-01-10,141.29,139.68,142.8,139,335606594,88.25,91.25,2.2777,1.22,74.02,23.44,23.45,52.85
2008-01-11,140.15,140.78,141.899,139,267015594,88.58,91.6,2.2326,1.24,73.09,23.55,23.68,51.6
2008-01-14,141.28,141.16,141.86,140,169984609,89.5399,92.39,2.2581,0.95,74.25,23.43,22.9,52.155
2008-01-15,138.17,139.79,141.49,138,239989297,87.99,93.57,2.2438,0.91,72.78,23.41,23.34,49.955
2008-01-16,136.98,137.36,139.12,136,378804281,86.7,92.85,2.2179,0.89,71.85,23.7,24.38,48.035
2008-01-17,133.43,137.81,137.88,133,397884406,86.5001,93.69,2.2032,0.93,71.03,23.66,28.46,46.66
2008-01-18,132.06,134.74,135.02,131,348409406,87.42,93.64,2.2138,1.1,71.54,23.73,27.18,47.68
2008-01-22,130.72,127.21,132.427,126,435734031,88.1699,93.6,2.2023,1.42,70.55,23.7674,31.01,46.22
2008-01-23,133.86,127.09,134.19,127,511174906,87.89,93.74,2.3114,1.17,69.5,23.7,29.02,46.72
2008-01-24,134.99,134.48,135.46,133,259699906,90.08,93.5,2.291,0.92,70.93,23.5,27.78,47.05
2008-01-25,133.04,136.51,136.76,133,270273219,90.3,93.37,2.2186,1.06,71.913,23.56,29.08,45.95
2008-01-28,135.24,133.26,135.52,132,217578891,91.75,93.51,2.2465,0.96,72.35,23.41,27.78,47
2008-01-29,135.91,136.1,136.45,135,168677500,91.15,93.36,2.3263,1.01,72.98,23.4,27.32,47.18
2008-01-30,134.91,135.58,138.54,135,335938219,92.0601,93.92,2.3829,1.08,73.08,23.26,27.62,46.345
2008-01-31,137.37,133.4,138.54,133,342925500,91.4,93.91,2.3187,1.19,72.35,23.44,26.2,47.445
2008-02-01,139.58,137.94,139.61,138,206496094,89.3499,93.77,2.2855,1.04,70.47,23.53,24.02,48.595
2008-02-04,137.82,139.21,139.3,138,124644703,89.1,93.61,2.271,0.93,71.37,23.49,25.99,48.535
2008-02-05,134.13,135.94,136.25,134,286601875,87.68,93.54,2.2532,1.02,70.15,23.74,28.24,46.515
2008-02-11,133.75,133.1,134.23,132,188500609,91.33,93.51,2.3306,0.82,74.55,23.85,27.6,46.875
2008-02-12,134.99,134.91,136.31,134,256384891,89.33,93.1,2.3419,0.82,73.59,23.77,26.33,47.05
2008-02-13,136.37,136.01,137.1,135,181866094,89.44,92.23,2.3046,0.85,74.11,23.81,24.88,48.05
2008-02-14,135.17,136.95,137,135,215011906,89.71,92.4899,2.2974,0.81,75.76,23.73,25.54,47.5
2008-02-15,135.14,134.55,136.1,133,153923812,89.15,92.65,2.3004,0.91,75.93,23.73,25.02,48.225
2008-02-19,135.52,136.69,136.89,135,145091703,91.58,92.734,2.3572,0.84,78.81,23.69,25.59,48.695
2008-02-20,135.92,133.99,137.6,134,220510797,93.24,92.28,2.3875,0.88,79.32,23.7,24.4,49.085
2008-02-21,134.79,136.66,137.01,134,200979391,93.25,93.05,2.3634,0.94,77.33,23.53,25.12,48.42
2008-02-22,135.62,134.97,135.85,133,205419906,93.39,93.13,2.3635,0.93,78.6,23.26,24.06,49.15
2008-02-25,137.33,135.54,137.65,135,189754500,92.74,92.36,2.396,0.94,78.736,23.38,23.03,49.69
2008-02-26,138.36,136.75,138.95,137,212243297,93.71,93.11,2.4517,1,80.1,23.22,21.9,50.62
2008-02-27,138.22,137.56,139.14,137,168124188,94.78,93.97,2.4524,1.15,78.92,23.0699,22.69,50.825
2008-02-28,136.87,137.24,137.96,137,169759016,95.99,94.72,2.4751,1.22,81.48,22.94,23.53,50.405
2008-02-29,133.82,135.6,137.025,133,252612188,96.18,96.13,2.4398,1.25,80.42,22.95,26.54,48.81
2008-03-03,133.5,133.14,133.81,132,189416000,97.24,96.77,2.4596,1.34,81.32,22.9,26.28,49.09
